60, 60, 98.07
58.483, 58.696, 98.07
56.967, 57.392, 98.07
55.452, 56.087, 97.462
53.964, 54.75, 97.462
52.476, 53.413, 97.462
51.002, 52.063, 96.641
49.549, 50.687, 96.641
48.097, 49.312, 96.641
46.685, 47.896, 95.531
45.277, 46.476, 95.531
43.907, 45.019, 94.029
42.554, 43.546, 94.029
41.248, 42.033, 92.007
39.963, 40.499, 92.007
38.754, 38.907, 89.323
37.582, 37.287, 85.86
36.493, 35.609, 85.558
35.509, 33.87, 81.313
34.63, 32.075, 76.836
33.893, 30.219, 72.167
33.339, 28.299, 68.631
33.01, 26.327, 67.258
32.936, 24.33, 68.512
33.124, 22.341, 72.005
33.555, 20.39, 76.78
34.192, 18.496, 81.863
34.993, 16.664, 86.599
35.917, 14.891, 90.689
36.929, 13.166, 94.071
38.006, 11.48, 94.071
39.127, 9.824, 96.806
40.27, 8.183, 98.994
41.424, 6.55, 99.264
42.581, 4.918, 97.885
43.732, 3.283, 97.885
44.869, 1.637, 96.8
45.99, -0.019, 95.961
47.09, -1.689, 95.961
48.155, -3.382, 95.33
49.2, -5.087, 94.88
50.207, -6.815, 94.88
51.177, -8.564, 94.589
52.124, -10.325, 94.589
53.009, -12.119, 94.44
53.88, -13.919, 94.416
54.685, -15.75, 94.416
55.472, -17.588, 94.497
56.196, -19.452, 94.497
56.901, -21.324, 94.668
57.541, -23.218, 94.668
58.167, -25.118, 94.91
58.721, -27.039, 94.91
59.274, -28.961, 94.91
59.741, -30.906, 95.203
60.206, -32.851, 95.203
60.611, -34.809, 92.367
60.987, -36.774, 88.447
61.342, -38.742, 84.346
61.629, -40.721, 80.034
61.916, -42.7, 75.476
62.146, -44.686, 70.625
62.346, -46.676, 65.415
62.547, -48.666, 59.752
62.668, -50.663, 53.494
62.784, -52.659, 46.398
62.897, -54.656, 38
62.961, -56.788, 0
62.961, -56.788, 0
63.559, -76.779, 0
endData
177.2
100
200
60, 60, -1.752, 7.925, 61.169, 23.058, 62.961, -56.788
#PATH.JERRYIO-DATA {"appVersion":"0.8.3","format":"LemLib v0.5","gc":{"robotWidth":16,"robotHeight":18,"robotIsHolonomic":false,"showRobot":false,"uol":2.54,"pointDensity":2,"controlMagnetDistance":1.968503937007874,"fieldImage":{"displayName":"V5RC 2025 - High Stakes (Skills)","signature":"V5RC 2025 - High Stakes (Skills)","origin":{"__type":"built-in"}},"coordinateSystem":"VEX Gaming Positioning System"},"paths":[{"segments":[{"controls":[{"uid":"XMKLJxAawv","x":60,"y":60,"lock":false,"visible":true,"heading":225,"__type":"end-point"},{"uid":"KrkczJKLZG","x":-1.752227517612932,"y":7.924847181931208,"lock":false,"visible":true,"__type":"control"},{"uid":"5ge6xgsqU9","x":61.168669705760465,"y":23.057721197679236,"lock":false,"visible":true,"__type":"control"},{"uid":"4SEEtWHNiH","x":62.96072057604641,"y":-56.78810091172814,"lock":false,"visible":true,"heading":0,"__type":"end-point"}],"speedProfiles":[],"lookaheadKeyframes":[],"uid":"mSqYrhM8Hh"}],"pc":{"speedLimit":{"minLimit":{"value":0,"label":"0"},"maxLimit":{"value":127,"label":"127"},"step":1,"from":38,"to":100},"bentRateApplicableRange":{"minLimit":{"value":0,"label":"0"},"maxLimit":{"value":1,"label":"1"},"step":0.001,"from":0,"to":0.049},"maxDecelerationRate":177.2},"name":"Path","uid":"BBeSA4xZdC","lock":false,"visible":true}]}
